country_code,id_mep,name,full_term
SWE,292,Malin BJÖRK,1
SWE,293,Peter LUNDGREN,1
AUT,294,Harald VILIMSKY,1
SVN,295,Franc BOGOVIČ,1
ESP,296,Javier NART,1
ROU,297,Daniel BUDA,1
NLD,298,Paul TANG,1
NLD,299,Agnes JONGERIUS,1
NLD,300,Anja HAZEKAMP,1
NLD,301,Marcel de GRAAFF,0
ESP,302,Esteban GONZÁLEZ PONS,0
NLD,303,Annie SCHREIJER-PIERIK,1
ESP,304,Maite PAGAZAURTUNDÚA,1
ESP,305,Javi LÓPEZ,1
ESP,306,Inma RODRÍGUEZ-PIÑERO,1
ESP,307,Clara AGUILERA,1
ESP,308,Jonás FERNÁNDEZ,1
GRC,309,Georgios KYRTSOS,1
GRC,310,Maria SPYRAKI,1
GRC,311,Elissavet VOZEMBERG-VRIONIDI,1
GRC,312,Theodoros ZAGORAKIS,1
GRC,313,Manolis KEFALOGIANNIS,1
GRC,314,Kostas PAPADAKIS,1
SVN,315,Romana TOMC,1
BEL,316,Johan VAN OVERTVELDT,1
GRC,317,Eva KAILI,1
GRC,318,Nikos ANDROULAKIS,0
BGR,319,Iskra MIHAYLOVA,1
LTU,320,Bronis ROPĖ,1
ITA,321,Marco ZULLO,1
ITA,322,Massimiliano SALINI,1
CZE,323,Jiří POSPÍŠIL,1
ESP,324,Jordi CAÑAS,1
ESP,325,Domènec RUIZ DEVESA,1
DEU,326,Markus BUCHHEIT,1
EST,327,Urmas PAET,1
BEL,329,Tom VANDENKENDELAERE,0
BEL,330,Hilde VAUTMANS,1
LVA,331,Dace MELBĀRDE,1
GRC,332,Stelios KOULOGLOU,1
ESP,333,Miguel URBÁN CRESPO,1
FRA,334,Jordan BARDELLA,1
DEU,335,Gunnar BECK,1
FIN,336,Pirkko RUOHONEN-LERNER,0
ROU,337,Ramona STRUGARIU,1
FRA,338,Valérie HAYER,1
PRT,339,João PIMENTA LOPES,0
FRA,340,Annika BRUNA,1
SWE,341,Jakop G. DALUNDE,0
ITA,342,Angelo CIOCCA,1
DEU,343,Alexandra GEESE,1
HRV,344,Željana ZOVKO,1
DEU,345,Tiemo WÖLKEN,1
BEL,346,Tom VANDENDRIESSCHE,1
ESP,347,Jordi SOLÉ,0
BEL,348,Marc BOTENGA,1
GBR,349,John HOWARTH,0
GBR,350,Jonathan BULLOCK,0
DEU,351,Dennis RADTKE,1
FRA,352,France JAMET,1
GBR,353,Baroness Nosheena MOBARIK,0
BGR,354,Asim ADEMOV,1
GBR,355,Rory PALMER,0
AUT,356,Thomas WAITZ,0
DEU,357,Martin SCHIRDEWAN,1
DEU,358,Jörg MEUTHEN,1
NLD,359,Caroline NAGTEGAAL,1
AUT,360,Lukas MANDL,1
FRA,361,Geoffroy DIDIER,1
FIN,362,Elsi KATAINEN,1
ITA,363,Giuseppe FERRANDINO,1
ITA,364,Danilo Oscar LANCINI,1
DEU,365,Romeo FRANZ,1
LUX,366,Tilly METZ,1
LUX,367,Christophe HANSEN,0
SWE,368,Sara SKYTTEDAL,1
SWE,369,Heléne FRITZON,1
SWE,370,Evin INCIR,1
SWE,371,David LEGA,1
MLT,372,Josianne CUTAJAR,1
SWE,373,Alice KUHNKE,1
SWE,374,Erik BERGKVIST,0
SWE,375,Pär HOLMGREN,1
SWE,376,Jessica STEGRUD,0
SWE,377,Abir AL-SAHLANI,1
SWE,378,Karin KARLSBRO,1
SWE,379,Tomas TOBÉ,1
MLT,380,Alex AGIUS SALIBA,1
SWE,381,Jessica POLFJÄRD,1
SWE,382,Jörgen WARBORN,1
SWE,383,Arba KOKALARI,1
DEU,384,Hildegard BENTELE,1
DEU,385,Stefan BERGER,1
DEU,386,Niclas HERBST,1
HRV,387,Karlo RESSLER,1
CYP,388,Loucas FOURLAS,1
CYP,389,Niyazi KIZILYÜREK,1
CYP,390,Giorgos GEORGIOU,1
HRV,391,Tomislav SOKOL,1
LUX,392,Monica SEMEDO,1
HRV,393,Valter FLEGO,1
BEL,394,Kris PEETERS,0
LUX,395,Isabel WISELER-LIMA,1
DEU,396,Christine SCHNEIDER,1
DEU,397,Nico SEMSROTT,1
DEU,398,Ralf SEEKATZ,1
DEU,399,Sven SIMON,1
